iter	Logloss
0	0.6894119497
1	0.6853437078
2	0.6815097775
3	0.6779095331
4	0.674286354
5	0.6703506573
6	0.6666362986
7	0.6625925682
8	0.6591487591
9	0.6551708711
10	0.6514637
11	0.6479262921
12	0.6444704684
13	0.6410393439
14	0.6374837611
15	0.633924993
16	0.6305537872
17	0.6269871225
18	0.6233376743
19	0.6198758567
20	0.6164567922
21	0.6132029044
22	0.6098998862
23	0.6065991216
24	0.6031126731
25	0.6000977608
26	0.5964474901
27	0.5934196197
28	0.5900019656
29	0.586859195
30	0.5835795555
31	0.5804224416
32	0.5771293175
33	0.5739930189
34	0.5709316416
35	0.5673512016
36	0.564252881
37	0.561275026
38	0.5577979291
39	0.5548093876
40	0.5515516039
41	0.5485704916
42	0.5457007715
43	0.5424976551
44	0.5395675549
45	0.5364441037
46	0.5335245426
47	0.5304323065
48	0.5275454911
49	0.5247530027
50	0.5217146912
51	0.519079078
52	0.5163890271
53	0.5135004634
54	0.510743293
55	0.5078917039
56	0.5050619979
57	0.5025336073
58	0.499924223
59	0.4972719217
60	0.494365446
61	0.4916157528
62	0.4889480098
63	0.4864756425
64	0.4840182661
65	0.481126622
66	0.4784287069
67	0.4755454845
68	0.4729290219
69	0.4703379432
70	0.4675288933
71	0.4649355644
72	0.4624069441
73	0.4598433169
74	0.457123868
75	0.4546139943
76	0.4518554481
77	0.4494201714
78	0.4470274989
79	0.4445371594
80	0.4420965102
81	0.4394908554
82	0.4370268777
83	0.4346522786
84	0.4321937805
85	0.4299848912
86	0.4275820897
87	0.4251403811
88	0.4228648101
89	0.4206151674
90	0.41829485
91	0.416086613
92	0.4137388559
93	0.4113646836
94	0.4089566709
95	0.4069224645
96	0.4048874382
97	0.4027661242
98	0.4006362496
99	0.3983845909
100	0.3961250855
101	0.3938906302
102	0.391758712
103	0.3896603378
104	0.3876135501
105	0.3853822984
106	0.3831343305
107	0.3810397634
108	0.3788830178
109	0.376848977
110	0.3746434456
111	0.3726589101
112	0.3705096059
113	0.3685370199
114	0.3665165696
115	0.3644042466
116	0.3623611821
117	0.3604256064
118	0.3584569284
119	0.3562586217
120	0.3543577607
121	0.3524406033
122	0.3504978501
123	0.348668898
124	0.3466520755
125	0.3449551213
126	0.3432154612
127	0.3414030689
128	0.3395423029
129	0.3376722954
130	0.335868374
131	0.3340372021
132	0.3322461899
133	0.3305636178
134	0.3285789879
135	0.326827772
136	0.3250951657
137	0.3233133959
138	0.3216549296
139	0.3197703968
140	0.3179531343
141	0.316350898
142	0.3147267649
143	0.3128829741
144	0.3112032031
145	0.3096105705
146	0.3080245327
